address,school_name,school_type,school_year
"Iowa State University, Ames, IA 50011",Iowa State University,Public,4-year
"601 N Main Street, Mount Pleasant, IA 52641",Iowa Wesleyan College,Private not-for-profit,4-year
"2700 College Rd, Council Bluffs, IA 51502",Iowa Western Community College,Public,2-year
"26061 Franklin Rd, Southfield, MI 48033",Irene's Myomassology Institute,Private for-profit,< 2-year
"5500 Irvine Center Drive, Irvine, CA 92618",Irvine Valley College,Public,2-year
"1425 Portland Ave, Rochester, NY 14621",Isabella G Hart School of Practical Nursing,Private not-for-profit,< 2-year
,Isenberg School of Management,,
"128 Broadway Rte 110, Amityville, NY 11701",Island Drafting and Technical Institute,Private for-profit,2-year
"286 ICC Loop Road, Spindale, NC 28160",Isothermal Community College,Public,2-year
"1851 Hwy 169 E, Grand Rapids, MN 55744",Itasca Community College,Public,2-year
"602 W Hill St, Fulton, MS 38843",Itawamba Community College,Public,2-year
"953 Danby Rd, Ithaca, NY 14850",Ithaca College,Private not-for-profit,4-year
"13944 Airline Hwy, Baton Rouge, LA 70817",ITI Technical College,Private for-profit,2-year
"13 Airline Dr, Albany, NY 12205",ITT Technical Institute-Albany,Private for-profit,2-year
"5100 Masthead N.E., Albuquerque, NM 87109",ITT Technical Institute-Albuquerque,Private for-profit,4-year
"525 N Muller Street, Anaheim, CA 92801",ITT Technical Institute-Anaheim,Private for-profit,4-year
"551 Ryan Plaza Dr, Arlington, TX 76011",ITT Technical Institute-Arlington,Private for-profit,4-year
"1930 Meyer Drury Dr, Arnold, MO 63010",ITT Technical Institute-Arnold,Private for-profit,4-year
"1745 Phoenix Blvd.\nSuite 100, Atlanta, GA 30349",ITT Technical Institute-Atlanta,Private for-profit,4-year
"6330 Highway 290 East\nSte 150, Austin, TX 78723",ITT Technical Institute-Austin,Private for-profit,4-year
"14141 Airline Hwy Bldg 3 Ste K, Baton Rouge, LA 70817",ITT Technical Institute-Baton Rouge,Private for-profit,4-year
"3330 Tillman Dr, Bensalem, PA 19020",ITT Technical Institute-Bensalem,Private for-profit,2-year
"6270 Park South Drive, Bessemer, AL 35022",ITT Technical Institute-Bessemer,Private for-profit,4-year
"12302 W. Explorer Dr, Boise, ID 83713",ITT Technical Institute-Boise,Private for-profit,4-year
"7040 High Grove Blvd, Burr Ridge, IL 60527",ITT Technical Institute-Burr Ridge,Private for-profit,4-year
"1905 S. Haggerty Rd, Canton, MI 48188",ITT Technical Institute-Canton,Private for-profit,4-year
"14420 Albemarle Point Pl\nSte100, Chantilly, VA 20151",ITT Technical Institute-Chantilly,Private for-profit,4-year
"4135 Southstream Blvd.\nSuite 200, Charlotte, NC 28217",ITT Technical Institute-Charlotte,Private for-profit,4-year
"5600 Brainerd Rd Ste G1, Chattanooga, TN 37411",ITT Technical Institute-Chattanooga,Private for-profit,4-year
"362 North Clovis Ave, Clovis, CA 93612",ITT Technical Institute-Clovis,Private for-profit,4-year
"720 Gracern Rd Ste 120, Columbia, SC 29210",ITT Technical Institute-Columbia,Private for-profit,4-year
"7260 Goodlett Farms Parkway, Cordova, TN 38016",ITT Technical Institute-Cordova,Private for-profit,4-year
"3325 Stop Eight Rd, Dayton, OH 45414",ITT Technical Institute-Dayton,Private for-profit,4-year
"10700 Abbotts Bridge Rd-Ste 190, Duluth, GA 30097",ITT Technical Institute-Duluth,Private for-profit,4-year
"1000 Meade St.- Suite 210, Dunmore, PA 18512",ITT Technical Institute-Dunmore,Private for-profit,2-year
"3640 Corporate Trail Drive, Earth City, MO 63045",ITT Technical Institute-Earth City,Private for-profit,4-year
"8911 Columbine Road, Eden Prairie, MN 55347",ITT Technical Institute-Eden Prairie,Private for-profit,4-year
"1615 75th Street Sw\nSuite 220, Everett, WA 98203",ITT Technical Institute-Everett,Private for-profit,4-year
"3401 S University Dr, Fort Lauderdale, FL 33328",ITT Technical Institute-Fort Lauderdale,Private for-profit,4-year
"2810 Dupont Commerce Court, Fort Wayne, IN 46825",ITT Technical Institute-Fort Wayne,Private for-profit,4-year
"2295 Millersport Hwy, Getzville, NY 14068",ITT Technical Institute-Getzville,Private for-profit,2-year
"4020 Sparks Dr S.E., Grand Rapids, MI 49546",ITT Technical Institute-Grand Rapids,Private for-profit,4-year
"470 Security Blvd, Green Bay, WI 54313",ITT Technical Institute-Green Bay,Private for-profit,4-year
"6300 W Layton Ave, Greenfield, WI 53220",ITT Technical Institute-Greenfield,Private for-profit,4-year
"Six Independence Pointe, Greenville, SC 29615",ITT Technical Institute-Greenville,Private for-profit,4-year
"168 N Gibson Rd, Henderson, NV 89014",ITT Technical Institute-Henderson,Private for-profit,4-year
"3781 Park Mill Run\nSuite 1, Hilliard, OH 43026",ITT Technical Institute-Hilliard,Private for-profit,4-year
"15621 North Freeway, Houston, TX 77090",ITT Technical Institute-Houston North,Private for-profit,4-year
"2950 S Gessner, Houston, TX 77063",ITT Technical Institute-Houston West,Private for-profit,4-year
"9511 Angola Ct, Indianapolis, IN 46268",ITT Technical Institute-Indianapolis,Private for-profit,4-year
"6600 Youngerman Cir. Ste 10, Jacksonville, FL 32244",ITT Technical Institute-Jacksonville,Private for-profit,4-year
"9150 East 41st Place, Kansas City, MO 64133",ITT Technical Institute-Kansas City,Private for-profit,4-year
"1000 Cobb Place Blvd NW - Bldg 300 - Ste 300, Kennesaw, GA 30144",ITT Technical Institute-Kennesaw,Private for-profit,4-year
"760 Moore Rd\nSte 150, King of Prussia, PA 19406",ITT Technical Institute-King of Prussia,Private for-profit,2-year
"10208 Technology Dr, Knoxville, TN 37932",ITT Technical Institute-Knoxville,Private for-profit,4-year
"1400 South International Parkway South, Lake Mary, FL 32746",ITT Technical Institute-Lake Mary,Private for-profit,4-year
"16916 S. Harlan Rd, Lathrop, CA 95330",ITT Technical Institute-Lathrop,Private for-profit,4-year
"2473 Fortune Dr - Suite 180, Lexington, KY 40509",ITT Technical Institute-Lexington,Private for-profit,4-year
"4520 S University Ave, Little Rock, AR 72204",ITT Technical Institute-Little Rock,Private for-profit,4-year
"235 Greenfield Parkway, Liverpool, NY 13088",ITT Technical Institute-Liverpool,Private for-profit,2-year
"10509 Timberwood Cir, Louisville, KY 40223",ITT Technical Institute-Louisville,Private for-profit,4-year
"1656 Henthorne Blvd. - Suite B, Maumee, OH 43537",ITT Technical Institute-Maumee,Private for-profit,4-year
"5020 Louise Dr, Mechanicsburg, PA 17055",ITT Technical Institute-Mechanicsburg,Private for-profit,2-year
"7955 NW 12th St\nSte 119, Miami, FL 33126",ITT Technical Institute-Miami,Private for-profit,4-year
"3100 Cottage Hill Rd Bldg 3, Mobile, AL 36606",ITT Technical Institute-Mobile,Private for-profit,4-year
"105 Mall Blvd Ste 200 E, Monroeville, PA 15146",ITT Technical Institute-Monroeville,Private for-profit,2-year
"1401 Feehanville Road, Mount Prospect, IL 60056",ITT Technical Institute-Mount Prospect,Private for-profit,4-year
"920 W Levoy Dr, Murray, UT 84123",ITT Technical Institute-Murray,Private for-profit,4-year
"2845 Elm Hill Pike, Nashville, TN 37214",ITT Technical Institute-Nashville,Private for-profit,4-year
"10999 Stahl Rd, Newburgh, IN 47630",ITT Technical Institute-Newburgh,Private for-profit,4-year
"863 Glenrock Rd\nSte 100, Norfolk, VA 23502",ITT Technical Institute-Norfolk,Private for-profit,4-year
"333 Providence Highway\nRte 1, Norwood, MA 02062",ITT Technical Institute-Norwood,Private for-profit,4-year
"4750 Wesley Ave, Norwood, OH 45212",ITT Technical Institute-Norwood,Private for-profit,4-year
"50 Penn Place Office Tower\n1900 NW Expressway St.-Ste 305, Oklahoma City, OK 73118",ITT Technical Institute-Oklahoma City,Private for-profit,4-year
"9814 M St, Omaha, NE 68127",ITT Technical Institute-Omaha,Private for-profit,4-year
"11301 Red Run Blvd, Owings Mills, MD 21117",ITT Technical Institute-Owings Mills,Private for-profit,4-year
"2051 Solar Dr Suite 150, Oxnard, CA 93036",ITT Technical Institute-Oxnard,Private for-profit,4-year
"3491 Gandy Blvd Ste 101, Pinellas Park, FL 33781",ITT Technical Institute-Pinellas Park,Private for-profit,4-year
"Ten Parkway Ctr, Pittsburgh, PA 15220",ITT Technical Institute-Pittsburgh,Private for-profit,2-year
"6035 NE 78th Ct, Portland, OR 97218",ITT Technical Institute-Portland,Private for-profit,4-year
"10863 Gold Center Dr, Rancho Cordova, CA 95670",ITT Technical Institute-Rancho Cordova,Private for-profit,4-year
"2101 Waterview Pky, Richardson, TX 75080",ITT Technical Institute-Richardson,Private for-profit,4-year
"300 Gateway Centre Pky, Richmond, VA 23235",ITT Technical Institute-Richmond,Private for-profit,4-year
"140 James Dr E, Saint Rose, LA 70087",ITT Technical Institute-Saint Rose,Private for-profit,4-year
"5700 Northwest Pky, San Antonio, TX 78249",ITT Technical Institute-San Antonio,Private for-profit,4-year
"670 E Carnegie Drive, San Bernardino, CA 92408",ITT Technical Institute-San Bernardino,Private for-profit,4-year
"9680 Granite Ridge Dr, San Diego, CA 92123",ITT Technical Institute-San Diego,Private for-profit,4-year
"650 W. Cienega Ave., San Dimas, CA 91773",ITT Technical Institute-San Dimas,Private for-profit,4-year
"12720 Gateway Dr Ste 100, Seattle, WA 98168",ITT Technical Institute-Seattle,Private for-profit,4-year
"17390 Dugdale Dr Ste 100, South Bend, IN 46635",ITT Technical Institute-South Bend,Private for-profit,4-year
"13518 E Indiana Avenue, Spokane Valley, WA 99216",ITT Technical Institute-Spokane Valley,Private for-profit,4-year
"7300 Boston Blvd, Springfield, VA 22153",ITT Technical Institute-Springfield,Private for-profit,4-year
"14955 Sprague Rd, Strongsville, OH 44136",ITT Technical Institute-Strongsville,Private for-profit,4-year
"6359 Miller Road, Swartz Creek, MI 48473",ITT Technical Institute-Swartz Creek,Private for-profit,4-year
"12669 Encinitas Ave, Sylmar, CA 91342",ITT Technical Institute-Sylmar,Private for-profit,4-year
"4809 Memorial Hwy, Tampa, FL 33634",ITT Technical Institute-Tampa,Private for-profit,4-year
"5005 S. Wendler Drive, Tempe, AZ 85282",ITT Technical Institute-Tempe,Private for-profit,4-year
"500 E 84th Ave Ste B12, Thornton, CO 80229",ITT Technical Institute-Thornton,Private for-profit,4-year
"20050 S. Vermont Ave, Torrance, CA 90502",ITT Technical Institute-Torrance,Private for-profit,4-year
"1522 E Big Beaver Rd, Troy, MI 48083",ITT Technical Institute-Troy,Private for-profit,4-year
"1455 W. River Rd, Tucson, AZ 85704",ITT Technical Institute-Tucson,Private for-profit,4-year
"4943 South 78th East Ave, Tulsa, OK 74145",ITT Technical Institute-Tulsa,Private for-profit,4-year
"4700 Richmond Rd.\nSuite 3000, Warrensville Heights, OH 44128",ITT Technical Institute-Warrensville Heights,Private for-profit,4-year
"1001 Magnolia Ave, Webster, TX 77598",ITT Technical Institute-Webster,Private for-profit,4-year
"2024 N Woodlawn, Wichita, KS 67208",ITT Technical Institute-Wichita,Private for-profit,4-year
"10 Forbes Road, Woburn, MA 01801",ITT Technical Institute-Woburn,Private for-profit,4-year
"1030 N Meridian Rd, Youngstown, OH 44509",ITT Technical Institute-Youngstown,Private for-profit,4-year
"11551 184th Place, Orland Park, IL 60467",ITT Technnical Institute-Orland Park,Private for-profit,4-year
"1600 East Pioneer Pkwy\nSuite 200, Arlington, TX 76010",Iverson Business School and Court Reporting,Private for-profit,2-year
"200 Daniels Way, Bloomington, IN 47404",Ivy Tech Community College-Bloominton,Public,2-year
"50 W. Fall Creek Parkway N. Drive, Indianapolis, IN 46208",Ivy Tech Community College-Central Indiana,Public,2-year
"4475 Central Ave, Columbus, IN 47203",Ivy Tech Community College-Columbus,Public,2-year
"4301 S Cowan Rd, Muncie, IN 47302",Ivy Tech Community College-East Central,Public,2-year
"1815 E Morgan St, Kokomo, IN 46901",Ivy Tech Community College-Kokomo,Public,2-year
"3101 South Creasy Ln, Lafayette, IN 47905",Ivy Tech Community College-Lafayette,Public,2-year
"220 Dean Johnson Blvd, South Bend, IN 46601",Ivy Tech Community College-Northcentral,Public,2-year
"3800 N Anthony Blvd, Fort Wayne, IN 46805",Ivy Tech Community College-Northeast,Public,2-year
"1440 E 35th Ave, Gary, IN 46409",Ivy Tech Community College-Northwest,Public,2-year
"8204 Hwy 311, Sellersburg, IN 47172",Ivy Tech Community College-South Central,Public,2-year
"590 Ivy Tech Dr, Madison, IN 47250",Ivy Tech Community College-Southeast,Public,2-year
"3501 First Ave, Evansville, IN 47710",Ivy Tech Community College-Southwest,Public,2-year
"7999 US Hwy 41, Terre Haute, IN 47802",Ivy Tech Community College-Wabash Valley,Public,2-year
"2357 Chester Blvd, Richmond, IN 47374",Ivy Tech Community College-Whitewater,Public,2-year
,J & J Hair Design College,Private for-profit,< 2-year
,J & J Hair Design College,Private for-profit,< 2-year
"1073 E Main St, El Cajon, CA 92021",J Boutique College of Beauty,Private for-profit,2-year
"1901 E 86 St, Indianapolis, IN 46240",J Everett Light Career Center,Public,< 2-year
"3421 Meridian St N, Huntsville, AL 35811",J F Drake State Technical College,Public,2-year
"5375 Ingram Rd, Deatsville, AL 36022",J F Ingram State Technical College,Public,2-year
"110-A Brighton Pk Blvd, Frankfort, KY 40601",J M Academy of Cosmetology Inc,Private for-profit,2-year
"2232 Wabash Ave, Terre Haute, IN 47807",J Michael Harrold Beauty Academy,Private for-profit,< 2-year
"1651 E Parham Road, Richmond, VA 23228",J Sargeant Reynolds Community College,Public,2-year
,J. Mack Robinson College of Business,,
,J. Reuben Clark Law School,,
"2111 Emmons Rd, Jackson, MI 49201",Jackson Community College,Public,2-year
"2046 North Pky, Jackson, TN 38301",Jackson State Community College,Public,2-year
"1440 J R Lynch St, Jackson, MS 39217",Jackson State University,Public,4-year
"5045 Soutel Dr Ste 80, Jacksonville, FL 32208",Jacksonville Beauty Institute,Private for-profit,< 2-year
"105 B J Albritton Dr, Jacksonville, TX 75766",Jacksonville College-Main Campus,Private not-for-profit,2-year
"700 Pelham Road North, Jacksonville, AL 36265",Jacksonville State University,Public,4-year
"2800 University Blvd N, Jacksonville, FL 32211",Jacksonville University,Private not-for-profit,4-year
,Jacob D. Fuchsberg Law Center,,
"4240 Campus Dr, Lima, OH 45804",James A Rhodes State College,Public,2-year
"281 E 17th St, Costa Mesa, CA 92627",James Albert School of Cosmetology,Private for-profit,< 2-year
"1900 US Hwy 31 S, Bay Minette, AL 36507",James H Faulkner State Community College,Public,2-year
"800 South Main Street, Harrisonburg, VA 22807",James Madison University,Public,4-year
"3274 Hedgesville Road, Martinsburg, WV 25403",James Rumsey Technical Institute,Public,< 2-year
"133 James Sprunt Drive, Kenansville, NC 28349",James Sprunt Community College,Public,2-year
"1211 Wilmington Ave, New Castle, PA 16105",Jameson Health System,Private not-for-profit,2-year
"7 Fairmount Ave, Jamestown, NY 14701",Jamestown Business College,Private for-profit,4-year
"608 6th St NE, Jamestown, ND 58405",Jamestown College,Private not-for-profit,4-year
"525 Falconer St, Jamestown, NY 14701",Jamestown Community College,Public,2-year
"Hwy 80 E, Hawkins, TX 75765",Jarvis Christian College,Private not-for-profit,4-year
"4501 Circle 75 Pky Ste D-4100, Atlanta, GA 30339",Javelin Technical Training Center,Private for-profit,< 2-year
"9000 West Bellfort\nSuite 110, Houston, TX 77031",Jay's Technical Institute,Private for-profit,< 2-year
"315A Bainbridge St, Philadelphia, PA 19147",Jean Madeline Aveda Institute,Private for-profit,< 2-year
"1000 Viking Dr, Hillsboro, MO 63050",Jefferson College,Public,2-year
"920 S Jefferson St, Roanoke, VA 24016",Jefferson College of Health Sciences,Private not-for-profit,4-year
"109 E Broadway, Louisville, KY 40202",Jefferson Community and Technical College,Public,2-year
"1220 Coffeen St, Watertown, NY 13601",Jefferson Community College,Public,2-year
"576 Vo-Tech Road, Reynoldsville, PA 15851",Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Public,< 2-year
"220 Alco Dr, Brewton, AL 36426",Jefferson Davis Community College,Public,2-year
"20104 State Rte 3, Watertown, NY 13601",Jefferson Lewis BOCES-Practical Nursing Program,Public,< 2-year
,Jefferson Medical College,,
"1600 West 40th, Pine Bluff, AR 71603",Jefferson School of Nursing,Private not-for-profit,2-year
"2601 Carson Rd, Birmingham, AL 35215",Jefferson State Community College,Public,2-year
"114 N Cumberland Ave, Harlan, KY 40831",Jenny Lea Academy of Cosmetology,Private for-profit,2-year
"74 Parkway Plaza Loop, Whitesburg, KY 41858",Jenny Lea Academy of Cosmetology,Private for-profit,2-year
,Jerry S. Rawls College of Business Administration,,
,Jesse H. Jones Graduate School of Business,,
"1735 Leroy Ave, Berkeley, CA 94709",Jesuit School of Theology at Berkeley,Private not-for-profit,4-year
"3080 Broadway, New York, NY 10027",Jewish Theological Seminary of America,Private not-for-profit,4-year
,JHJ School of Business,,
"1212 S Broad St, Philadelphia, PA 19146",Jna Institute of Culinary Arts,Private for-profit,2-year
"37 Myrtle Ave, Dover, NJ 07801",Joe Kubert School of Cartoon and Graphic Art,Private for-profit,2-year
"434 Ave of the Americas, New York, NY 10011",Joffrey Ballet School-American Ballet Center,Private for-profit,2-year
"1616 Church St, Nashville, TN 37203",John A Gupton College,Private not-for-profit,2-year
"700 Logan College Road, Carterville, IL 62918",John A Logan College,Public,2-year
"15301 S Cicero, Oak Forest, IL 60452",John Amico School of Hair Design,Private for-profit,< 2-year
,John B. Goddard School of Business and Economics,,
"2000 W University St, Siloam Springs, AR 72761",John Brown University,Private not-for-profit,4-year
"6250 U S Highway 31 N, Tanner, AL 35671",John C Calhoun State Community College,Public,2-year
"20700 N Park Blvd, Cleveland, OH 44118",John Carroll University,Private not-for-profit,4-year
"95 Rockyside Road, New Cumberland, WV 26047",John D Rockefeller IV Career Center,Public,< 2-year
"427 Barbosa Ave. Third Floor, Hato Rey, PR 00910",John Dewey College,Private not-for-profit,< 2-year
"Industrial Park Corujo 2446 Rd #2, Bayamon, PR 00959",John Dewey College,Private not-for-profit,< 2-year
"Bo. Palmas\nRoad 3\nKm. 129.7, Arroyo, PR 00910",John Dewey College\u2013Arroyo Branch,Private not-for-profit,< 2-year
"267 Valero St, Fajardo, PR 00910",John Dewey College\u2013Fajardo Branch,Private not-for-profit,< 2-year
"Road 3 Compound 11 Lot 7 Carolina Industrial Park, Carolina, PR 00986",John Dewey College-Carolina Campus,Private not-for-profit,< 2-year
"Bo. Lomas\nRoad 149\nKm. 67.02, Juana Diaz, PR 00910",John Dewey College-Juana Diaz Branch,Private not-for-profit,< 2-year
"Barbosa Ave #427 3rd Floor - Malco Bldg, Hato Rey, PR 00910",John Dewey College-University Division,Private not-for-profit,4-year
"100 Ellinwood Way, Pleasant Hill, CA 94523",John F Kennedy University,Private not-for-profit,4-year
,John F. Donahue Graduate School of Business,,
,John F. Welch College of Business,,
,John H. Sykes College of Business,,
"2844 Tennessee Ave, Kenner, LA 70062",John Jay Beauty College,Private for-profit,< 2-year
,John M. and Mary Jo Boler School of Business,,
"1422 W Peachtree St NW, Atlanta, GA 30309",John Marshall Law School-Atlanta,Private for-profit,4-year
"13101 Jefferson Davis Hwy, Chester, VA 23831",John Tyler Community College,Public,2-year
"2314 N Centennial St, High Point, NC 27265",John Wesley College,Private not-for-profit,4-year
,John Wesley International Barber & Beauty College,Private for-profit,< 2-year
"717 Pine Ave, Long Beach, CA 90813",John Wesley International Barber and Beauty College,Private for-profit,< 2-year
"1301 S 48th Street, Quincy, IL 62305",John Wood Community College,Public,2-year
"3400 N Charles St, Baltimore, MD 21218",Johns Hopkins University,Private not-for-profit,4-year
"8 Abbott Park Place, Providence, RI 02903",Johnson & Wales University,Private not-for-profit,4-year
,Johnson & Wales University-Charlotte,Private not-for-profit,4-year
"7150 Montview Blvd, Denver, CO 80220",Johnson & Wales University-Denver,Private not-for-profit,4-year
"1701 NE 127th St, North Miami, FL 33181",Johnson & Wales University-Florida Campus,Private not-for-profit,4-year
"7900 Johnson Dr, Knoxville, TN 37998",Johnson Bible College,Private not-for-profit,4-year
"100-152 Beatties Ford Rd, Charlotte, NC 28216",Johnson C Smith University,Private not-for-profit,4-year
"3427 N Main Ave, Scranton, PA 18508",Johnson College,Private not-for-profit,2-year
"12345 College Blvd, Overland Park, KS 66210",Johnson County Community College,Public,2-year
"337 College Hill, Johnson, VT 05656",Johnson State College,Public,4-year
"245 College Road, Smithfield, NC 27577",Johnston Community College,Public,2-year
"44 Sewall Street, Ludlow, MA 01056",Jolie Hair and Beauty Academy,Private for-profit,< 2-year
"1215 Houbolt Rd, Joliet, IL 60431",Joliet Junior College,Public,2-year
"10909 Webb Chapel Rd, Dallas, TX 75229",Jones Beauty College,Private for-profit,< 2-year
"5353 Arlington Expy, Jacksonville, FL 32211",Jones College-Jacksonville,Private not-for-profit,4-year
"11430 N Kendall Drive\nSuite 200, Miami, FL 33176",Jones College-Miami Campus,Private not-for-profit,4-year
"900 S Court St, Ellisville, MS 39437",Jones County Junior College,Public,2-year
"9697 East Mineral Avenue, Centennial, CO 80112",Jones International University,Private for-profit,4-year
"208 Westside Drive, Vidalia, LA 71373",Jonesville Beauty School,Private for-profit,< 2-year
"2011 S Washington St, Grand Forks, ND 58201",Josef's School of Hair Design Inc,Private for-profit,2-year
"627 Northern Pacific Avenue, Fargo, ND 58102",Josef's School of Hair Design Inc,Private for-profit,2-year
,Joseph M. Bryan School of Business & Economics,,
"5801 O Street, Lincoln, NE 68510",Josephs College of Beauty-Lincoln,Private for-profit,2-year
"302 Bibb St, Marion, AL 36756",Judson College,Private not-for-profit,4-year
"1151 N State St, Elgin, IL 60123",Judson University,Private not-for-profit,4-year
"1700 Moore St, Huntingdon, PA 16652",Juniata College,Private not-for-profit,4-year
"2600 Stemmons Fwy Ste 117, Dallas, TX 75207",K D Studio,Private for-profit,2-year
"1200 Academy St, Kalamazoo, MI 49006",Kalamazoo College,Private not-for-profit,4-year
"6767 West O Ave, Kalamazoo, MI 49003",Kalamazoo Valley Community College,Public,2-year
"103 Cole Complex, Institute, WV 25112",Kanawha Valley Community and Technical College,Private for-profit,2-year
,Kania School of Management,,
"100 College Drive, Kankakee, IL 60901",Kankakee Community College,Public,2-year
"4415 Warwick Blvd, Kansas City, MO 64111",Kansas City Art Institute,Private not-for-profit,4-year
"7250 State Ave, Kansas City, KS 66112",Kansas City Kansas Community College,Public,2-year
"2220 N 59th St, Kansas City, KS 66104",Kansas City Ks Area Technical School,Public,< 2-year
"1750 Independence Ave, Kansas City, MO 64106",Kansas City University of Medicine and Biosciences,Private not-for-profit,4-year
"Anderson Hall, Manhattan, KS 66506",Kansas State University,Public,4-year
"100 E. Claflin Ave., Salina, KS 67401",Kansas Wesleyan University,Private not-for-profit,4-year
"4303 Diamond Head Rd, Honolulu, HI 96816",Kapiolani Community College,Public,2-year
"5650 Derry St, Harrisburg, PA 17111",Kaplan Career Institute,Private for-profit,2-year
"5981 Jefferson NE Suite A & B, Albuquerque, NM 87109",Kaplan Career Institute,Private for-profit,< 2-year
"750 Envious Lane, Nashville, TN 37217",Kaplan Career Institute,Private for-profit,2-year
"8720 Brookpark Road, Brooklyn, OH 44129",Kaplan Career Institute,Private for-profit,2-year
"10-14 Wood St, Pittsburgh, PA 15222",Kaplan Career Institute-ICM Campus,Private for-profit,2-year
"7142 San Pedro Suite 100, San Antonio, TX 78216",Kaplan Career Institute-San Antonio Campus,Private for-profit,2-year
"111 W. Pleasant St-Ste 101, Milwaukee, WI 53212",Kaplan College,Private for-profit,2-year
"13610 N Black Canyon Hwy\nSte 104, Phoenix, AZ 85029",Kaplan College,Private for-profit,2-year
"500 E. 84th Ave.\nW-200, Thornton, CO 80229",Kaplan College-Denver,Private for-profit,2-year
"3803 E Lincoln Hwy, Merrillville, IN 46410",Kaplan College-Merrillville,Private for-profit,2-year
"500 SW 39th St.-Suite 155, Renton, WA 98057",Kaplan College-Renton,Private for-profit,2-year
"3031 W. Grand Blvd.-Ste 236, Detroit, MI 48202",Kaplan Institute,Private for-profit,< 2-year
"1801 E Kimberly Rd Ste 1, Davenport, IA 52807",Kaplan University,Private for-profit,4-year
"7009 Nordic Drive, Cedar Falls, IA 50613",Kaplan University-Cedar Falls Campus,Private for-profit,4-year
"4655 121st Street, Urbandale, IA 50323",Kaplan University-Des Moines Campus,Private for-profit,4-year
"27210 College Rd, Centralia, IL 62801",Kaskaskia College,Public,2-year
"180 Centennial Ave., Piscataway, NJ 08854",Katharine Gibbs School,Private for-profit,< 2-year
"2501 Monroe Blvd, Norristown, PA 19403",Katharine Gibbs School,Private for-profit,2-year
"320 S Service Rd, Melville, NY 11747",Katharine Gibbs School-Melville,Private for-profit,2-year
"50 West 40 Street, New York, NY 10018",Katharine Gibbs School-New York City,Private for-profit,2-year
"3-1901 Kaumualii Hwy, Lihue, HI 96766",Kauai Community College,Public,2-year
"701 E High St, Lexington, KY 40502",Kaufman Beauty School,Private for-profit,2-year
"5724 SW Huntoon, Topeka, KS 66604",Kaw Area Technical School,Public,< 2-year
"11 Central St, West Springfield, MA 01089",Kay Harvey Academy of Hair Design,Private for-profit,< 2-year
,KCTCS,,
"1000 Morris Ave, Union, NJ 07083",Kean University,Public,4-year
"535 Watson Dr, Claremont, CA 91711",Keck Graduate Institute,Private not-for-profit,4-year
"800 Park Ave, Keene, NH 03431",Keene Beauty Academy,Private for-profit,< 2-year
"229 Main Street, Keene, NH 03435",Keene State College,Public,4-year
"340 Illington Road, Ossining, NY 10562",Kehilath Yakov Rabbinical Seminary,Private not-for-profit,4-year
"6812 Forest Hill Blvd\nSuite D-1, Greenacres, FL 33413",Keiser Career College-Greenacres,Private for-profit,2-year
"17395 NW 59th Avenue, Miami Lakes, FL 33015",Keiser Career College-Miami Lakes,Private for-profit,2-year
"11208 Danka Blvd., St. Petersburg, FL 33716",Keiser Career College-St. Petersburg,Private for-profit,2-year
"8505 Mills Dr, Miami, FL 33183",Keiser University- Kendall,Private for-profit,4-year
"1800 Business Park Blvd., Daytona Beach, FL 32114",Keiser University-Daytona,Private for-profit,4-year
"1500 NW 49th St., Fort Lauderdale, FL 33309",Keiser University-Ft. Lauderdale,Private for-profit,4-year
"6700 Southpoint Parkway #400, Jacksonville, FL 32216",Keiser University-Jacksonville,Private for-profit,4-year
"2400 Interstate Drive, Lakeland, FL 33805",Keiser University-Lakeland,Private for-profit,4-year
"900 S Babcock St, Melbourne, FL 32901",Keiser University-Melbourne,Private for-profit,4-year
"5600 Lake Underhill Rd, Orlando, FL 32807",Keiser University-Orlando,Private for-profit,4-year
"12520 Pines Blvd., Pembroke Pines, FL 33027",Keiser University-Pembroke Pines,Private for-profit,4-year
"10330 S US 1, Port St Lucie, FL 34952",Keiser University-Port St Lucie,Private for-profit,4-year
"6151 Lake Osprey Dr., Sarasota, FL 34240",Keiser University-Sarasota,Private for-profit,4-year
"1700 Halstead Blvd, Tallahassee, FL 32309",Keiser University-Tallahassee,Private for-profit,4-year
"5225 Memorial Highway, Tampa, FL 33634",Keiser University-Tampa,Private for-profit,4-year
"2085 Vista Parkway, West Palm Beach, FL 33411",Keiser University-West Palm Beach,Private for-profit,4-year
,Keller Graduate School of Management,,
"450 North Ave, Battle Creek, MI 49017",Kellogg Community College,Public,2-year
,Kellogg School of Management,,
"900 N. North Branch Ave, Chicago, IL 60622",Kendall College,Private for-profit,4-year
"92 Western Ave, Fairfield, ME 04937",Kennebec Valley Community College,Public,2-year
"1000 Chastain Rd, Kennesaw, GA 30144",Kennesaw State University,Public,4-year
"1515 John B White SR Blvd, Spartanburg, SC 29301",Kenneth Shuler School of Cosmetology,Private for-profit,< 2-year
"7474 Garners Ferry Road, Columbia, SC 29209",Kenneth Shuler School of Cosmetology,Private for-profit,< 2-year
"736 East Martintown Road, North Augusta, SC 29841",Kenneth Shuler School of Cosmetology and Hair Design,Private for-profit,< 2-year
"449 Saint Andrews Rd, Columbia, SC 29210",Kenneth Shuler School of Cosmetology and Nails,Private for-profit,< 2-year
